id,title,link,district,bizcircle,tagList,onsale,onrent,year,housetype,cost,service,company,building_num,house_num,price,city,validdate
1111047399088,"梓峰大厦",https://bj.lianjia.com/xiaoqu/1111047399088/,"东城","朝阳门内","",0,0,"暂无信息","未知类型","暂无信息","暂无信息","暂无信息","1栋","100户","暂无",bj,"2019-11-08 16:39:32.084618"
1111027376838,"大方家胡同61号院",https://bj.lianjia.com/xiaoqu/1111027376838/,"东城","朝阳门内","近地铁2号线朝阳门站",0,0,"1980年建成","板楼","0.5元/平米/月","暂无信息","无","4栋","336户","暂无",bj,"2019-11-08 16:39:32.085000"
1111027376671,"朝阳门内小街",https://bj.lianjia.com/xiaoqu/1111027376671/,"东城","朝阳门内","近地铁2号线朝阳门站",0,0,"1985年建成","板楼","暂无信息","暂无信息","暂无信息","1栋","24户","暂无",bj,"2019-11-08 16:39:32.085134"
1111042800864,"北京军区总院宿舍",https://bj.lianjia.com/xiaoqu/1111042800864/,"东城","朝阳门内","近地铁2号线东四十条站",0,0,"1985年建成","塔板结合","暂无信息","暂无信息","暂无信息","2栋","208户","暂无",bj,"2019-11-08 16:39:32.085278"
1111027373779,"东门仓胡同",https://bj.lianjia.com/xiaoqu/1111027373779/,"东城","朝阳门内","近地铁2号线东四十条站",0,0,"1986年建成","板楼","暂无信息","暂无信息","单位自建","3栋","11户","暂无",bj,"2019-11-08 16:39:32.085395"
1111027378566,"南门仓胡同5号院",https://bj.lianjia.com/xiaoqu/1111027378566/,"东城","朝阳门内","近地铁2号线东四十条站",0,0,"暂无信息","板楼","暂无信息","暂无信息","暂无信息","1栋","135户","暂无",bj,"2019-11-08 16:39:32.085520"
1111044303318,"红岩胡同",https://bj.lianjia.com/xiaoqu/1111044303318/,"东城","朝阳门内","",0,0,"暂无信息","未知类型","暂无信息","暂无信息","暂无信息","1栋","2户","暂无",bj,"2019-11-08 16:39:32.085767"
1111051790452,"崇文门西小街",https://bj.lianjia.com/xiaoqu/1111051790452/,"东城","崇文门","近地铁5号线崇文门站",0,0,"1979年建成","塔楼","暂无信息","街道办事处（委员会）代管物业","无开发商","1栋","48户","暂无",bj,"2019-11-08 16:40:25.695804"
1111027375835,"北岗子街",https://bj.lianjia.com/xiaoqu/1111027375835/,"东城","崇文门","近地铁5号线磁器口站",1,0,"1970年建成","板楼","1.1元/平米/月","暂无信息","无","39栋","191户",81281,bj,"2019-11-08 16:40:33.015428"
1111027374344,"分司厅胡同",https://bj.lianjia.com/xiaoqu/1111027374344/,"东城","地安门","近地铁2号线安定门站",0,0,"1950年建成","平房","暂无信息","暂无信息","房管所代管物业","16栋","59户","暂无",bj,"2019-11-08 16:41:22.106938"
